id,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,created_at,difficulty
03e70dce-4370-477a-bbdb-e8852a101621,"In 1919, American activist Emma Goldman, having been deported from the United States, arrived in Soviet Russia with hopes of witnessing the successful implementation of anarchist ideals. She was initially enthusiastic about the Russian Revolution’s promise of workers’ rights and political freedom; _____ though, she became disillusioned after observing the oppressive policies of the Bolshevik regime. Which choice completes the text with the most logical transition?","Additionally,","Ultimately,","Otherwise,","For example,",B,"“Ultimately” is the most logical transition because it indicates a final result that contrasts with an earlier expectation. The phrase “Ultimately though” conveys that even though Goldman had high hopes at first, in the end, she became disappointed.
 “Additionally” adds information, which doesn’t show contrast.
 “Otherwise” introduces an alternative scenario, which isn’t relevant here.
 “For example” introduces a specific case, which doesn’t logically connect the two ideas.",2025-06-24 04:46:51.280137+00,
05737325-5af0-4b6f-b37a-3f2dde137e2d,"Many cities around the world are known for their unique architecture, such as Barcelona with its Gothic and Modernist styles and Dubai with its ultramodern skyscrapers. ______, these architectural styles reflect the cultural and historical influences of their respective regions.","Nonetheless,","In addition,","Therefore,","Similarly,",B,"Correct Answer:\nB) In addition,  \nThis is the correct choice because it provides a logical addition to the previous sentence, stating that the architectural styles mentioned are examples that reflect the cultural and historical influences of the cities.",2025-06-24 04:08:28.170764+00,
05b8059f-e5e7-49e3-b3d1-02be1e25fa42,"Many works of the Ottoman historian and geographer Kâtip Çelebi (17th century), including his history of Europe, Fezleke, have been lost to time. Scholars wishing to read a work written by the Ottoman historian and geographer needn't ___ they can still procure a copy of Cihannüma, a geographical treatise. Which choice completes the text so that it conforms to the conventions of Standard English?","despair, though,","despair, though;","despair, though",despair-though,B,"The correct answer is B because the semicolon is used to separate two independent clauses in the sentence, making it grammatically correct.",2025-06-24 04:46:51.280137+00,
0604b078-b423-4803-a006-0d89b8f32877,"As the company transitioned to digital services, its revenue became increasingly ______ physical product sales.",decoupled from,reliant on,multiplied by,supportive of,A,The revenue was no longer dependent on product sales — “decoupled from” is accurate.,2025-06-24 03:35:50.095009+00,
0683e1e5-6623-4e29-8bf2-e06a88c1677c,"A groundbreaking visual artist of her day, ___ Bedri Rahmi Eyüboğlu and Fahrelnissa Zeid. Which choice completes the text so that it conforms to the conventions of Standard English?","well before many of her contemporaries, Müfide Kadri explored abstract modes of painting.",", the explorations of Müfide Kadri into abstract modes of painting occured well before those of many of her contemporaries,","Müfide Kadri explored abstract modes of painting well before many of her contemporaries,","Müfide Kadri, well before many of her contemporaries, explored abstract modes of painting,",C,Choice C is the correct answer because it maintains proper subject-verb agreement and concise phrasing while conveying the intended meaning that Müfide Kadri explored abstract modes of painting before many of her contemporaries.,2025-06-24 04:46:51.280137+00,
0790ea9b-6998-4a64-a7a8-7e714e8e060d,"In a quiet orchard, under skies of blue,
A lone apple tree stands, yearning for the dew.
Once full of fruit, it blossomed with grace,
Now barren and empty, it feels out of place.

Many seasons pass, and it stands in the cold,
Its branches are tired, weary, and old.
It remembers the days, it was fruitful and bright,
Now longing for sunshine, it dreams through the night.

Which choice best describes the main purpose of the text?",To illustrate the pertinence between loneliness and seclusion.,To compare the tree’s barrenness with the barrenness of the land.,To criticize the lack of care for nature’s resources.,To depict the passage of time and reveal the transient nature of the tree,D,"The poem uses the apple tree as a metaphor for the fleeting nature of beauty and productivity. Once vibrant and full of fruit, the tree now stands barren, symbolizing how everything has a season. It reflects on the impermanence of all things.

Advanced Words:
• Transient: Temporary or short-lived.
• Barren: Empty or unable to produce.
• Metaphor: A figure of speech suggesting similarity.",2025-06-24 04:11:46.439248+00,
07be84f4-a4bc-4e0a-bf6e-0cded6d9cd5d,"Depth Ranges of Deep-Sea Sponges in the Atlantic

Species                | Minimum Depth (m) | Maximum Depth (m)
-----------------------|-------------------|-------------------
Hexactinella alba     | 80                | 400
Cladorhiza profunda   | 300               | 650
Eureca bowersbanki    | 100               | 450
Sympagella nuda       | 50                | 200

Sponges that live exclusively below 300 meters are considered obligate deep-sea dwellers, meaning they are specially adapted to deep pressure and temperature conditions. Scientists are interested in identifying which species may be least suited to long-term life under such deep-sea conditions.

Based on the data, which species seems least suited to deep-sea adaptation?","Hexactinella alba, because its depth range begins at only 80 meters.","Cladorhiza profunda, because it never inhabits depths shallower than 300 meters.","Eureca bowersbanki, because its range overlaps both mid and deep zones.","Sympagella nuda, because it never lives below 200 meters.",D,"Sympagella nuda is the least deep-sea adapted since its entire range (50–200m) is shallower than 300m, and it never experiences deep-sea conditions.",2025-06-24 03:37:57.586355+00,
07e420b5-ff41-4ba8-a70e-73fab8002d9f,"Although early urban pollution studies focused mainly on large, industrial cities such as London, Beijing, and New York, recent research has attempted to ______ this imbalance by including data from smaller, rural towns across different continents.",categorize,mitigate,replicate,overlook,B,Mitigate means to lessen or address a problem. It fits because the sentence discusses correcting an imbalance in research focus.,2025-06-24 03:34:03.016411+00,
0990d023-4c1e-4e19-82b7-1dd6897f35c4,"In her travel writings, Gertrude Bell describes the vast deserts of Arabia with such poetic precision that her vivid interpretation still ___ historians and travelers today.",has fascinated,fascinates,is fascinating,fascinate,B,Subject: 'her vivid interpretation' functions as a singular entity; present simple 'fascinates' reflects timeless relevance. Other options break agreement or tense.,2025-06-24 03:52:01.807021+00,
0b42404d-d806-4304-8b75-45d04e8fba5d,"As a sociolinguist, Dr. Naz Aslans studies the evolution of dialects across immigrant communities. She analyzes speech patterns that  _____ from multiple languages and regional accents, revealing how identity is shaped by communication. Which choice completes the text so that it conforms to the conventions of Standard English?",draws,draw,drawing,is drawing,B,"In this sentence, ""draws"" functions as the main verb in the subordinate clause that describes Dr. Naz Aslans' studies. Since the subject of the clause is ""speech patterns,"" the verb should be in the singular form ""draw.""",2025-06-24 04:46:51.280137+00,
0d3998e7-5b51-4b05-9156-2a40a8d33246,": Which finding, if true, would most directly support the researchers’ conclusion?",Longer autumns cause changes in the migration patterns of birds and other wildlife in northern Siberia.,"When soil remains unfrozen into late autumn, microbial communities remain active and continue producing methane.","Methane breaks down more slowly in the atmosphere than carbon dioxide, contributing more heavily to global warming.",Warmer temperatures in Siberia are more common now than they were in the 1970s.,B,"This directly supports the mechanism behind the conclusion—delayed freezing keeps microbes active, and they continue producing methane, which confirms the expected rise in emissions.",2025-06-24 04:46:51.280137+00,
1078c77b-cd4f-45a1-a6ee-8342dbf2e885,"While researching a topic, a student has taken the following notes: Producing the nutrient-rich cyanobacterium L. maxima at industrial scale requires high-quality DNA samples. Dr. Ayşenur Yıldız and a team of researchers at Ankara University evaluated the quantity and purity of L. maxima DNA extracted using three different DNA extraction kits. CTAB 2X (kit 1) had a DNA yield of 2,134 ng/µL and a purity ratio of 2.2. Pbact (kit 2) had a DNA yield of 157 ng/µL and a purity ratio of 1.6. Pplant (kit 3) had a DNA yield of 12.5 ng/µL and a purity ratio of 1.5. According to the researchers, Pbact was the most effective because it was the only one with both a sufficiently high yield and a purity ratio close to the ideal of 1.8. The student wants to emphasize the significance of a similarity between two of the kits. Which choice most effectively uses relevant information from the notes to accomplish this goal?","Due to their insufficient yield or purity, CTAB 2X and Pplant were deemed by the researchers to be less effective than Pbact.",CTAB 2X and Pplant both had a DNA yield above 10 and a purity ratio above 1.4.,"Compared to CTAB 2X, which had a DNA yield of 2,134 ng/µL, both Pbact and Pplant had insufficient yields; Pplant, in particular, was ineffective due to its low yield.","With the ideal purity ratio being 1.8, CTAB 2X and Pbact were equal in purity, according to the researchers.",D,"Option D effectively uses relevant information from the notes by comparing the purity ratios of CTAB 2X and Pbact, highlighting their similarity in purity according to the researchers. This emphasizes the significance of this similarity between the two kits.",2025-06-24 04:46:51.280137+00,
10e1633a-ea6f-47e8-8fa2-dea74bb088b7,"Imagine a newspaper that a reader in Ankara has thrown away. This newspaper is post-consumer waste, as it became waste after reaching the consumer; paper scraps left over from printing the newspaper are pre-consumer waste, as they became waste before reaching the consumer. — Which choice completes the text with the most logical transition?","As a result,","By contrast,","For example,","Specifically,",B,"Choice B, ""By contrast,"" is the correct answer because it sets up a comparison between post-consumer waste and pre-consumer waste, highlighting the difference in when each type of waste is generated. This transition helps to clarify the distinction being made in the text.",2025-06-24 04:46:51.280137+00,
11b4c3a4-9f95-45a5-9680-cc256814d361,"An environmental science student is studying why certain plants thrive better in polluted soil compared to others. The student conducted an experiment comparing two groups: plants with a high expression of the gene Pht1 (known for phosphorus uptake) and plants with a low expression of the same gene. The plants were grown in polluted soil with heavy metal contamination. The student found that plants with high Pht1 expression showed greater growth and less damage in polluted soil than those with low expression. The student concluded that plant resilience in polluted soil is solely determined by the level of Pht1 gene expression.\n\nWhich finding, if true, would most directly weaken the student’s conclusion?",Some plants with low Pht1 expression showed resilience similar to plants with high Pht1 expression but had a higher rate of water absorption.,The expression of the Pht1 gene does not affect the plant's ability to photosynthesize in polluted soil.,"A sample of plants from different environments shows a variety of growth responses to polluted soil, regardless of Pht1 gene expression levels.",Plants with high Pht1 expression in non-polluted soil grew at a similar rate to those with low Pht1 expression.,A,"If some plants with low Pht1 expression show similar resilience but have different water absorption rates, it suggests that other factors, such as water absorption, might also play a role in plant resilience in polluted soil. This finding would weaken the conclusion that Pht1 gene expression is the sole determinant of resilience.",2025-06-24 04:03:45.002152+00,
11d3e1bd-f2e8-4529-864c-83bee79d9f3f,"Instead of sleeping on soft pillows, ancient Anatolian communities, like those in Çatalhöyük, slept on hard, elevated headrests, their design ___ airflow, protection from insects, and hairstyle maintenance over comfort. Which choice completes the text so that it conforms to the conventions of Standard English?",prioritizing,had prioritized,prioritized,was prioritizing,C,The correct answer is C: prioritized. This is because it matches the tense and structure of the sentence and indicates that the communities in Çatalhöyük made a conscious decision to prioritize certain factors when designing their headrests.,2025-06-24 04:46:51.280137+00,
1529e793-03be-4cb7-8f6b-1e4cd0461c19,"Barring the unearthing of substantial archival materials, scholars are unlikely to obtain an _____ account of governance under the Old Turkic Huns, as much of what is known today stems from fragmented inscriptions and foreign chroniclers whose perspectives were often filtered through political bias. Which choice completes the text with the most logical and precise word or phrase?",imaginative,speculative,exhaustive,redundant,C,"The word ""exhaustive"" is the most appropriate choice because it suggests that scholars would need access to a comprehensive amount of archival materials in order to obtain a complete and thorough account of governance under the Old Turkic Huns.",2025-06-24 04:46:51.280137+00,
16c902d1-934c-417d-b66c-141b9fc02cb7,"Characterized by its formidable hunting abilities, the Bengal tiger, along with numerous other apex predators, ______ to the classification of animals that maintain ecological balance within their habitats.",pertains,pertain,have pertained,is pertaining,A,"Correct Answer: A) pertains.\n\nExplanation:\nThe subject of the sentence is “the Bengal tiger,” which is singular. The phrase “along with numerous other apex predators” is additional information and does not change the subject. Therefore, “pertains” is the correct singular form of the verb.",2025-06-24 04:36:40.586768+00,
16df2f31-d353-4078-b787-bb7f1c251c71,"Mobile phones have become an essential part of modern life, allowing for seamless communication and instant access to information. However, concerns about prolonged exposure to radiofrequency (RF) radiation persist. Studies have suggested potential links between long-term mobile phone use and health issues such as sleep disturbances, headaches, and even increased risks of certain types of tumors. _______ regulatory agencies continue to assert that mobile phones meet safety standards for radiation exposure, research on long-term effects remains ongoing.
Which option is the correct transition that logically connects the discussion on RF radiation from mobile phones?",Subsequently,Otherwise,Nevertheless,Therefore,C,"The correct answer is C) Nevertheless because it introduces a contrast between the concerns about RF radiation and the fact that regulatory agencies still consider mobile phones safe. The sentence suggests that although there are potential risks associated with prolonged exposure to radiofrequency radiation, authorities maintain that the devices comply with safety standards. Nevertheless effectively conveys this contradiction.
	A) Subsequently is incorrect because it suggests a sequence of events rather than a contrast. The sentence does not indicate that the ongoing research happens as a direct consequence of the safety standards.
	B) Otherwise is incorrect because it implies a hypothetical situation where something different would happen if the previous condition were not true. However, the sentence is presenting a contrast, not an alternative outcome.
	D) Therefore is incorrect because it indicates a cause-and-effect relationship. The fact that research on long-term effects is ongoing is not a direct result of regulatory agencies asserting that mobile phones are safe.",2025-06-24 03:24:36.836709+00,
187bba95-015a-4e5c-961a-8ddf684c2039,"In deep-sea research, scientists often rely on ____________ production and emission of light by living organisms (usually used for camouflage, communication, or predation)—to identify and track elusive marine species in pitch-black ocean depths. Which choice completes the text so that it conforms to the conventions of Standard English?",bioluminescence: the,"bioluminescence, the",bioluminescence—the,bioluminescence(the,C,"Correct Answer: C) bioluminescence—the
 The dash correctly sets off an appositive phrase explaining “bioluminescence,” followed by another dash to close off the interruption.
 A colon or comma does not correctly match the punctuation structure when the explanation is already framed by parentheses.
 Option D breaks the sentence structure and makes it grammatically incorrect.",2025-06-24 04:46:51.280137+00,
187fa37d-1740-4820-b4bc-0fa022f23276,"The artistic approach of Rising Currents, a 1962 mural by Muscogee artist Clara Nighthorse, draws heavily on the stylistic devices of Color Field painting—a movement led primarily by Euro-American artists that emphasizes vast expanses of color and subtle tonal transitions. While Nighthorse’s use of these techniques aligns her work with this school, few observers would immediately recognize her Indigenous heritage based solely on the mural’s formal qualities. In contrast, Osage artist Lyle Grayhawk integrates color fields with traditional Osage symbology such as shield patterns and eagle feather motifs. In Grayhawk’s work, abstraction has the effect of _____. Which choice most logically completes the text?",rendering Indigenous identity more legible than it is in Rising Currents.,asserting the Indigenous origins of motifs associated with Color Field painting.,challenging the dominance of European American artists within Color Field painting.,reconciling Indigenous and European American influences that coexist uneasily in Rising Currents.,A,"The passage sets up a contrast between Nighthorse’s work, which obscures her Indigenous identity through formal abstraction, and Grayhawk’s work, which blends abstraction with recognizable Indigenous motifs. Therefore, the best choice is A, which clearly states that Grayhawk’s abstraction makes Indigenous identity more visible than in the earlier mural.",2025-06-24 04:46:51.280137+00,
18ad8a88-077d-42a4-b04c-55627a6685a3,"In days of yore, when tempests raged,
Men fought sorrow with opium’s might.
Healers, clad in wisdom’s light,
Urged them to cleanse their souls outright.
Yet now, a gentler voice is heard,
One that soothes with kinder word.
Not all must shun their vice in haste,
For some find change at their own pace.

Which choice best describes the central theme of the poem?",The necessity of strict abstinence from harmful habits.,The idea that different individuals require different approaches to progress.,The belief that gradual recovery is ineffective.,The assumption that everyone can change at the same pace.,B,"The poem contrasts traditional, rigid abstinence with a more patient and understanding approach. It acknowledges that while some may quit instantly, others require time and guidance to truly change. This makes B the best choice.",2025-06-24 04:23:42.111298+00,
18f6eefe-5d2a-46d2-9f25-a3ec140f5e59,"The following text is from Edgar Allan Poe’s 1845 poem The Raven. Once upon a midnight dreary, while I pondered weak and weary Over many a quaint and curious volume of forgotten lore While I nodded, nearly napping, suddenly there came a tapping As of someone gently rapping, rapping at my chamber door Tis some visitor I muttered tapping at my chamber door Only this and nothing more Which choice best states the main purpose of the text?",To convey the speaker’s growing fear and anxiety as they encounter the unknown,To illustrate the speaker’s attempt to rationalize an eerie occurrence,To highlight the speaker's loneliness and longing for human connection,To explore the speaker’s fascination with death and the supernatural,B,"The speaker hears a knock at the door and tries to convince himself it’s nothing unusual. A simpler way to say it is, I hear someone knocking at the door. It must just be a visitor, nothing strange. The correct answer is B because the speaker is trying to explain away the eerie tapping as something normal, even though it might not be.",2025-06-24 04:46:51.280137+00,
194f1d2d-ce5a-418a-ab6b-f9f56ce15347,"Joseph A. Walker's award-winning play The River Niger was produced in 1972 by the groundbreaking Negro Ensemble Company (NEC). NEC cofounder Douglas Turner Ward, who worked as an actor, director, and playwright, had met actor and producer Robert Hooks while they were performing in a 1960 touring production of Lorraine Hansberry's play A Raisin in the Sun. Together, they envisioned a theater company that would nurture and showcase the work of Black theater professionals. Since NEC's founding in 1967, its workshops and performances have given Black playwrights, including Walker, a forum for their compelling stories.

Which one of the following is the correct option according to the underlined portion of the text?",It illustrates the importance of an organization mentioned in the text.,It compares the achievements of two people discussed later in the text.,It argues against the claim made earlier in the text.,It provides additional information about versatility of a person discussed in the text.,D,"The underlined portion gives more details about Douglas Turner Ward, who is introduced as a cofounder of the Negro Ensemble Company (NEC). It describes his roles as an actor, director, and playwright, providing background information that helps explain his qualifications and his involvement with the NEC. This underlined information adds context to his contributions to the organization. 

Explanation of Uncommon Words:

- Nurture: To care for and encourage the growth or development of something or someone.
- Compelling: Something that evokes interest, attention, or admiration in a powerful way. In this context, compelling stories suggests that the stories are captivating or interesting.",2025-06-24 04:00:56.957957+00,
1c78aa91-dae5-4381-a400-92ca193b10bf,"When analyzing the works of Turkish author Orhan Pamuk, ______ have frequently explored his use of themes such as identity and history in the context of modern Turkey.

Which choice completes the text so that it conforms to the conventions of Standard English?",the examination by literary scholars has highlighted Pamuk’s thematic depth; they,"there are critiques who have delved into Pamuk’s exploration of identity and history, and they","Pamuk’s thematic choices have been a subject of study by researchers, who","many literary critics have examined Pamuk’s use of themes such as identity and history, and they",D,"Choice D provides a grammatically correct and coherent completion to the sentence, clearly specifying who has explored Pamuk's thematic focus. It aligns with the conventions of Standard English by maintaining subject-verb agreement and clarity.",2025-06-24 04:26:52.841346+00,
1d026e3c-a484-4990-aa05-50393127f2a3,"Literary history often emerges from close readings, analysis, and the literary movements understood by certain communities. However, what gets celebrated by mainstream audiences — what ends up in anthologies, what is reviewed by large outlets — can be profoundly different. Today, one should consider the works that are ________ but unacknowledged, the work that may have been sped past or even ignored, but that speaks to some readers of this time.",irrelevant,preeminent,provocative,praiseworthy,D,Praiseworthy fits best — it describes work that deserves appreciation but has been overlooked.,2025-06-24 03:34:03.016411+00,
1d905919-5ce3-4e1f-9841-1ae23e5434e5,"The professor, who has studied marine biology for over three decades, ______ that climate change is significantly impacting coral reef ecosystems.",is believing,believes,believe,have believed,B,"Correct Answer:\nB) believes  \nThis is the correct choice because believes is in the present tense and agrees with the singular noun The professor, which is the subject of the sentence.",2025-06-24 04:08:28.170764+00,
1dea2e95-c150-49e6-a130-d2046f7222df,"Although Bengal tigers and Siberian tigers are both classified as subspecies of Panthera tigers, they exhibit striking differences in ______  Bengal tiger thrives in tropical forests and mangroves, the Siberian tiger is adapted to colder climates and dense snow-covered forests. Which choice completes the text so that it conforms to the conventions of standard English?",behavior; the,behavior. The,"behavior, while the",behavior: while the,D,"Correct Answer: D) behavior: while the
	The phrase after the blank explains what the differences are, so a colon (:) is the best choice because it introduces an elaboration on the differences.
	A) is incorrect because a semicolon (;) must separate two independent clauses, but “the Bengal tiger thrives in tropical forests…” is part of the explanation.
	B) is incorrect because a period makes the sentence too abrupt.
	C) is incorrect because a comma before “while” is weaker than a colon when introducing an explanation.",2025-06-24 04:46:51.280137+00,
